subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id,,,,
AS125,1,ความรู้ทั่วไปเกี่ยวกับอาเซียน,3,0,,,,,1
AS171,1,ภาษาเกาหลี 1,3,0,,,,,1
AS172,1,ภาษาเกาหลี 2,3,1,"AS171,KO171",,,,1
AS173,1,ภาษาเขมร 1,3,0,,,,,1
AS174,1,ภาษาเขมร 2,3,1,AS173,,,,1
AS175,1,ภาษาพม่า 1,3,0,,,,,1
AS176,1,ภาษาพม่า 2,3,1,AS175,,,,1
AS177,1,ภาษามลายู 1,3,0,,,,,1
AS178,1,ภาษามลายู 2,3,1,AS177,,,,1
AS179,1,ภาษาเวียดนาม 1,3,0,,,,,1
AS180,1,ภาษาเวียดนาม 2,3,1,AS179,,,,1
AS181,1,ภาษาลาว 1,3,0,,,,,1
AS182,1,ภาษาลาว 2,3,1,AS181,,,,1
AS183,1,ภาษาอินโดนีเซีย 1,3,0,,,,,1
AS184,1,ภาษาอินโดนีเซีย 2,3,1,AS183,,,,1
CH171,1,ภาษาจีน 1,3,0,,,,,1
CH172,1,ภาษาจีน 2,3,1,CH171,,,,1
DSI100,1,วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน,3,0,,,,,1
DSI200,2,การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล,3,0,,,,,2
DSI201,2,การจัดการฐานข้อมูล,3,0,,,,,2
DSI202,2,การพัฒนาซอฟต์แวร์ขั้นสมบูรณ์,3,0,,,,,2
DSI203,2,การแก้ปัญหาภายใต้ความไม่แน่นอน,3,0,,,,,2
DSI204,2,การคิดเชิงความน่าจะเป็น,3,0,,,,,2
DSI205,2,พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล,3,0,,,,,2
DSI206,2,การจัดการข้อมูลสื่อประสม,3,0,,,,,2
DSI207,2,การหาค่าเหมาะที่สุดเบื้องต้น,3,0,,,,,2
